time,province,city,confirm,heal,dead
2020/2/14,广西,防城港,0,0,0
2020/2/15,广西,防城港,1,0,0
2020/2/16,广西,防城港,0,0,0
2020/2/17,广西,防城港,0,0,0
2020/2/18,广西,防城港,0,5,0
2020/2/19,广西,防城港,1,0,0
2020/2/20,广西,防城港,0,0,0
2020/2/21,广西,防城港,0,0,0
2020/2/22,广西,防城港,0,0,0
2020/2/23,广西,防城港,0,0,0
2020/2/24,广西,防城港,0,2,0
2020/2/25,广西,防城港,0,0,0
2020/2/26,广西,防城港,0,0,0
2020/2/27,广西,防城港,0,0,0
2020/2/28,广西,防城港,0,0,0
2020/2/29,广西,防城港,0,2,0
2020/3/1,广西,防城港,0,0,0
2020/3/2,广西,防城港,0,0,0
2020/3/3,广西,防城港,0,0,0
2020/3/4,广西,防城港,0,2,0
2020/3/5,广西,防城港,0,0,0
2020/3/6,广西,防城港,0,0,0
2020/3/7,广西,防城港,0,0,0
2020/3/8,广西,防城港,0,1,0
2020/3/9,广西,防城港,0,2,0
2020/3/10,广西,防城港,0,1,0
2020/3/11,广西,防城港,0,0,0
2020/3/12,广西,防城港,0,0,0
2020/3/13,广西,防城港,0,1,0
2020/3/14,广西,防城港,0,0,0
2020/2/7,广西,柳州,20,3,0
2020/2/8,广西,柳州,0,0,0
2020/2/9,广西,柳州,2,0,0
2020/2/10,广西,柳州,0,0,0
2020/2/11,广西,柳州,0,3,0
2020/2/12,广西,柳州,0,0,0
2020/2/13,广西,柳州,0,1,0
2020/2/14,广西,柳州,2,1,0
2020/2/15,广西,柳州,0,2,0
2020/2/16,广西,柳州,0,0,0
2020/2/17,广西,柳州,0,0,0
2020/2/18,广西,柳州,0,0,0
2020/2/19,广西,柳州,0,2,0
2020/2/20,广西,柳州,0,1,0
2020/2/21,广西,柳州,0,0,0
2020/2/22,广西,柳州,0,0,0
2020/2/23,广西,柳州,0,1,0
2020/2/24,广西,柳州,0,0,0
2020/2/25,广西,柳州,0,0,0
2020/2/26,广西,柳州,0,3,0
2020/2/27,广西,柳州,0,0,0
2020/2/28,广西,柳州,0,0,0
2020/2/29,广西,柳州,0,0,0
2020/3/1,广西,柳州,0,1,0
2020/3/2,广西,柳州,0,0,0
2020/3/3,广西,柳州,0,1,0
2020/3/4,广西,柳州,0,2,0
2020/3/5,广西,柳州,0,1,0
2020/3/6,广西,柳州,0,0,0
2020/3/7,广西,柳州,0,0,0
2020/3/8,广西,柳州,0,1,0
2020/3/9,广西,柳州,0,0,0
2020/3/10,广西,柳州,0,1,0
2020/3/11,广西,柳州,0,1,0
2020/3/12,广西,柳州,0,0,0
2020/3/13,广西,柳州,0,0,0
2020/3/14,广西,柳州,0,0,0
2020/2/7,广西,桂林,29,5,0
2020/2/8,广西,桂林,0,0,0
2020/2/9,广西,桂林,1,0,0
2020/2/10,广西,桂林,0,0,0
2020/2/11,广西,桂林,1,0,0
2020/2/12,广西,桂林,0,0,0
2020/2/13,广西,桂林,0,0,0
2020/2/14,广西,桂林,0,0,0
2020/2/15,广西,桂林,0,5,0
2020/2/16,广西,桂林,0,0,0
2020/2/17,广西,桂林,0,2,0
2020/2/18,广西,桂林,0,3,0
2020/2/19,广西,桂林,0,0,0
2020/2/20,广西,桂林,0,0,0
2020/2/21,广西,桂林,1,2,0
2020/2/22,广西,桂林,0,0,0
2020/2/23,广西,桂林,0,0,0
2020/2/24,广西,桂林,0,6,0
2020/2/25,广西,桂林,0,0,0
2020/2/26,广西,桂林,0,0,0
2020/2/27,广西,桂林,0,1,0
2020/2/28,广西,桂林,0,0,0
2020/2/29,广西,桂林,0,0,0
2020/3/1,广西,桂林,0,2,0
2020/3/2,广西,桂林,0,2,0
2020/3/3,广西,桂林,0,0,0
2020/3/4,广西,桂林,0,2,0
2020/3/5,广西,桂林,0,1,0
2020/3/6,广西,桂林,0,0,0
2020/3/7,广西,桂林,0,0,0
2020/3/8,广西,桂林,0,0,0
2020/3/9,广西,桂林,0,0,0
2020/3/10,广西,桂林,0,0,0
2020/3/11,广西,桂林,0,1,0
2020/3/12,广西,桂林,0,0,0
2020/3/13,广西,桂林,0,0,0
2020/3/14,广西,桂林,0,0,0
2020/2/7,广西,北海,32,2,0
2020/2/8,广西,北海,1,1,0
2020/2/9,广西,北海,2,0,0
2020/2/10,广西,北海,1,0,0
2020/2/11,广西,北海,3,1,0
2020/2/12,广西,北海,0,0,1
2020/2/13,广西,北海,1,0,0
2020/2/14,广西,北海,3,3,0
2020/2/15,广西,北海,0,0,0
2020/2/16,广西,北海,0,2,0
2020/2/17,广西,北海,1,1,0
2020/2/18,广西,北海,0,4,0
2020/2/19,广西,北海,0,0,0
2020/2/20,广西,北海,0,0,0
2020/2/21,广西,北海,0,0,0
2020/2/22,广西,北海,0,0,0
2020/2/23,广西,北海,0,0,0
2020/2/24,广西,北海,0,7,0
2020/2/25,广西,北海,0,0,0
2020/2/26,广西,北海,0,3,0
2020/2/27,广西,北海,0,5,0
2020/2/28,广西,北海,0,3,0
